Country,Life Ladder,Healthy Life Expectancy/10,Social Support,Generosity,Positive Affect,Negative Affect,Log GDP per capita,Healthy life expectancy at birth
Lesotho,3.8,4.6,8,1,7.3,2.7,7.914381981,46.48040009
Liberia,3.5,5.2,6.6,1.4,6.7,3.9,6.640143394,52.38557816
Libya,5.6,6.1,8.6,2.5,7,3.8,9.560900688,61.38998795
Lithuania,6,6.7,9.3,1.4,6.1,2,10.24080372,66.51541138
Luxembourg,6.9,7.2,9.3,5,7.7,1.8,11.45878601,72.2013092
Macedonia,5.2,6.6,8.1,3.1,5,3,9.47803688,65.7304306
Madagascar,3.8,5.7,6.8,1.1,7.5,3.7,7.239486694,56.6400032
Malawi,3.6,5.4,5.3,1.7,6.1,3.1,6.994550705,53.61896133
Malaysia,6.3,6.5,8.2,5.7,7.7,3.1,10.12669563,65.05530548
Mali,4.4,4.9,8.1,1.1,7.4,3.9,7.584618568,48.77823639
Malta,6.6,7.2,9.3,7,7.2,3,10.47640324,71.82951355
Mauritania,4.4,5.3,8.1,1.5,6.4,2.7,8.185921669,53.18614578
Mauritius,5.9,6.6,8.7,4.5,7.5,1.7,9.898105621,65.51927185
Mexico,6.5,6.8,8.2,1.7,8.4,2.3,9.731403351,67.93598938
Moldova,5.6,6.4,8.4,2.3,5.8,2.6,8.50574398,63.51566315
Mongolia,5.1,6.2,9.3,4.2,6.8,2.1,9.332962036,62.10375214
Montenegro,5.3,6.7,8.3,2.3,5.2,3.5,9.66409874,66.94611359
Morocco,5.3,6.5,6.3,0.4,5.6,3.2,8.898159027,65.04904938
Mozambique,4.4,4.9,6.7,1.7,6.5,3.5,7.032855511,49.42869949
Myanmar,4.3,5.8,7.9,9,7.5,2.8,8.587717056,57.50941849
Namibia,4.4,5.5,8.3,1,7.2,2.8,9.203362465,55.49542618
Nepal,4.9,6.1,8.1,3.8,5.7,3.8,7.763106823,60.94758224
Netherlands,7.4,7.2,9.1,6.6,8.5,1.8,10.76772881,71.61999512
New Zealand,7.3,7.2,9.6,6.8,8.2,1.7,10.46938705,71.56855011
Nicaragua,6.1,6.6,8.4,2.9,8.5,3.1,8.543291092,66.02167511
Niger,4.2,5.1,6.6,1.1,7.3,4.3,6.818792343,50.94501114
Nigeria,5.2,4.5,7.8,2.8,7.2,2.4,8.610159874,45.49649048
North Cyprus,5.8,0,8,3.8,6.4,3.5,,
Norway,7.6,7.1,9.5,6.3,8.5,2,11.07193184,71.086586
Pakistan,5.5,5.7,6.4,3,5.9,3.1,8.492357254,57.33160782
Palestinian Territories,4.7,6.3,8,0.9,6,4.2,8.460144997,62.95491028
Panama,6.4,6.8,8.9,2.7,8.3,2.4,9.968957901,67.87735748
Paraguay,5.7,6.3,9.3,2.6,9.2,2,9.077331543,63.35182571
Peru,5.7,6.5,8.2,1.8,7.9,3.9,9.395082474,65.20940399
Philippines,5.5,6,8.4,1.8,7.7,3.4,8.887071609,60.12985229
Poland,6.1,6.9,9,2.6,6.8,2,10.17238712,68.57077789
Portugal,5.4,7.2,8.9,1.8,6.5,2.9,10.21084213,71.80517578
Qatar,6.4,6.8,0,0,7.7,3.2,11.6931572,67.53752136
Romania,5.9,6.7,8,2.1,7.3,2.3,9.979952812,66.85708618
Russia,5.8,6.3,9.1,1.9,7.1,1.9,10.0938797,62.83291626
Rwanda,3.4,5.7,6.7,1.9,7.5,2.9,7.464259148,56.58612061
Saudi Arabia,6.4,6.4,8.5,3,7.7,3.1,10.82507515,63.93116379
Senegal,4.6,5.8,7.6,1.2,7.5,2.9,7.774437428,57.63000488
Serbia,5.4,6.6,8.7,2.5,5.1,3.3,9.527345657,65.5536499
Sierra Leone,4.6,4.4,6.4,2.4,6,5,7.219619751,43.99452591
Singapore,6.3,7.6,9,5.9,8,1.8,11.30852604,75.72083282
Slovakia,6.2,6.8,9.3,2.9,7.9,2.1,10.2827034,68.42314148
Slovenia,5.9,7.1,9.2,3.5,6.2,2.9,10.31210327,70.94329071
Somalia,5,4.8,6,1.8,8.9,1.9,,47.62682343
South Africa,4.7,5.4,8.8,1.9,7.8,2.7,9.415628433,54.38080597
South Korea,5.9,7.4,8,3.9,6.2,2.3,10.46389961,74.04169464
South Sudan,3.3,5,5.5,2.6,5.9,5.2,7.480453014,49.57999039
Spain,6.3,7.4,9.3,3.3,6.3,3,10.41414165,74.36348724
Sri Lanka,4.5,6.5,8.4,5.1,7.9,2.7,9.34476757,65.14221191
Sudan,4.1,5.4,8.1,1.6,5.4,3,8.340058327,53.82001114
